episode,mean_return,group_std,mean_queue,mean_wait,throughput,mean_loss
114,17.1251,1.2836,2.37,39.10,356,-0.006720
115,17.7907,1.0637,2.12,34.07,388,-0.006719
116,17.4224,1.1232,2.32,37.96,370,-0.006714
117,17.4331,1.3752,2.50,41.35,377,-0.006714
118,18.9215,1.2621,2.50,42.29,375,-0.006708
119,18.0492,1.1387,2.11,33.85,359,-0.006702
120,18.2613,1.2793,2.29,37.01,371,-0.006692
121,16.9282,1.2255,2.41,39.92,343,-0.006689
122,17.6691,1.1200,2.20,35.78,360,-0.006687
123,17.6051,1.3360,2.48,42.18,368,-0.006684
124,17.6419,1.2489,2.36,38.80,371,-0.006683
125,19.0977,1.1471,2.29,38.26,387,-0.006679
126,17.5778,1.3825,2.49,41.66,363,-0.006679
127,17.5961,1.1941,2.26,36.73,348,-0.006667
128,18.1146,1.2624,2.29,38.69,354,-0.006670
129,16.9235,1.2141,2.30,37.72,350,-0.006664
130,18.4715,1.3089,2.41,40.30,365,-0.006664
131,18.1902,1.1239,2.16,35.81,359,-0.006676
132,17.5712,1.1492,2.27,37.41,361,-0.006671
133,17.7663,1.2033,2.36,39.41,348,-0.006678
134,17.4652,1.2029,2.35,39.28,359,-0.006677
135,18.4417,1.1444,2.15,34.42,370,-0.006678
136,18.0715,1.1876,2.41,40.37,361,-0.006681
137,18.3266,1.3258,2.47,41.35,379,-0.006683
138,17.8502,1.0899,2.23,36.21,375,-0.006686
139,17.8692,1.3736,2.48,41.70,361,-0.006678
140,17.8617,1.2483,2.26,37.07,377,-0.006680
141,18.4052,1.0546,2.23,36.60,355,-0.006675
142,19.5364,1.2019,2.45,41.05,395,-0.006670
143,19.0549,1.1772,2.23,36.62,370,-0.006667
144,16.7618,1.0752,2.23,36.55,367,-0.006661
145,16.9601,1.1023,2.21,35.96,358,-0.006655
146,18.3695,1.0014,2.15,35.07,375,-0.006647
147,19.7662,1.1658,2.26,37.52,378,-0.006642
148,18.8863,1.0530,2.24,36.37,379,-0.006635
149,16.5897,1.1783,2.20,37.47,354,-0.006629
150,18.5150,1.1677,2.25,37.54,383,-0.006616
151,17.4826,1.1722,2.22,36.53,363,-0.006612
152,18.0071,1.1541,2.17,35.75,366,-0.006611
153,15.7846,1.3327,2.49,42.17,333,-0.006601
154,18.5818,1.0756,2.15,34.65,365,-0.006588
155,16.1406,1.1616,2.33,38.47,346,-0.006584
156,16.9804,1.1625,2.47,42.57,355,-0.006578
157,16.7640,1.1172,2.23,36.74,357,-0.006567
158,19.2490,1.2002,2.31,38.57,387,-0.006559
159,18.2112,1.2410,2.35,38.44,379,-0.006551
160,18.3090,1.2210,2.27,37.14,364,-0.006550
161,17.7846,1.1772,2.41,39.97,361,-0.006543
162,15.9264,1.1005,2.34,38.44,362,-0.006529
163,19.0510,1.1698,2.47,41.20,386,-0.006527
164,18.3844,1.1300,2.33,38.57,367,-0.006527
165,18.8938,1.1821,2.26,36.96,374,-0.006524
166,18.6300,1.1563,2.39,39.60,379,-0.006512
167,20.2467,1.1422,2.38,39.67,401,-0.006518
168,17.7651,1.2851,2.39,39.74,357,-0.006508
169,18.7354,1.2604,2.47,41.90,393,-0.006510
170,16.9820,1.1044,2.29,38.49,344,-0.006505
171,17.2450,1.1878,2.31,38.29,352,-0.006486
172,18.3504,1.2277,2.36,38.18,357,-0.006483
173,17.7584,1.2583,2.48,41.53,376,-0.006479
174,18.9456,1.0587,2.14,34.77,380,-0.006476
175,17.1610,1.2630,2.40,40.05,358,-0.006465
176,18.8987,1.1574,2.25,36.83,373,-0.006452
177,19.5583,1.2133,2.35,39.23,389,-0.006448
178,18.2623,1.1617,2.35,38.57,366,-0.006438
179,16.8632,1.2656,2.37,39.53,346,-0.006443
180,18.1899,1.2216,2.23,36.02,383,-0.006437
181,17.1463,1.3011,2.37,39.51,351,-0.006438
182,18.2425,1.2946,2.38,39.38,362,-0.006437
183,17.1433,1.3465,2.45,40.54,361,-0.006435
184,19.4173,1.1552,2.28,37.36,383,-0.006434
