episode,density,mean_return,group_std,mean_queue,mean_wait,throughput,mean_loss,mean_vf_loss,entropy_coef,lr
61,light,-0.8629,1.2840,0.4045,5.7965,66,-0.010928,0.377578,0.049771,3.00e-04
62,heavy,-4.3443,5.7770,7.5404,143.0501,394,-0.011742,1.307696,0.049767,3.00e-04
63,heavy,-4.0990,5.8989,7.5602,142.7747,454,-0.012347,0.800402,0.049764,3.00e-04
64,light,-0.7858,1.1525,0.4127,5.7369,73,-0.012112,0.493790,0.049760,3.00e-04
65,heavy,-4.0913,5.7516,7.5051,141.7876,478,-0.012471,0.551644,0.049756,3.00e-04
66,heavy,-4.1385,5.6320,7.5573,143.9325,419,-0.012821,0.426350,0.049752,3.00e-04
67,light,-0.4837,0.9762,0.4505,6.9894,87,-0.011228,0.700531,0.049749,3.00e-04
68,heavy,-4.1775,5.6716,7.4723,142.4894,425,-0.011941,0.422993,0.049745,3.00e-04
69,moderate,-0.6233,1.4611,1.8970,29.6615,191,-0.014004,0.305762,0.049741,3.00e-04
70,light,-0.4965,0.7018,0.4093,5.7112,83,-0.011553,0.749758,0.049737,3.00e-04
71,light,-0.5894,0.7448,0.3948,5.4033,88,-0.015767,0.390476,0.049734,3.00e-04
72,moderate,-1.0065,1.6225,1.7593,26.0733,174,-0.015525,0.627776,0.049730,3.00e-04
73,moderate,-0.8548,1.4298,1.7996,27.5643,176,-0.012016,0.292826,0.049726,3.00e-04
74,light,-0.9021,1.5076,0.4205,5.9325,83,-0.012681,0.465702,0.049722,3.00e-04
75,light,-0.7731,1.2539,0.4329,6.2460,82,-0.012186,0.313509,0.049719,3.00e-04
76,heavy,-4.1277,5.2826,7.4967,142.9318,413,-0.011410,1.659611,0.049715,3.00e-04
77,light,-0.4551,0.8456,0.4093,5.6549,77,-0.012263,0.255459,0.049711,3.00e-04
78,heavy,-4.0409,5.3566,7.4673,144.8595,420,-0.011037,0.919589,0.049707,3.00e-04
79,heavy,-4.0149,5.3250,7.5511,147.2669,442,-0.011705,0.591629,0.049704,3.00e-04
80,moderate,-0.5998,1.3130,1.8530,28.9918,178,-0.011316,0.337098,0.049700,3.00e-04
81,heavy,-4.3661,5.7052,7.4510,147.7642,444,-0.012846,0.388922,0.049696,3.00e-04
82,heavy,-4.3098,5.5156,7.4171,141.8648,422,-0.012815,0.279465,0.049692,3.00e-04
83,moderate,-0.4281,1.1429,1.8068,27.8274,181,-0.014571,0.512977,0.049689,3.00e-04
84,heavy,-4.2698,5.1319,7.3555,143.5560,422,-0.015999,0.347258,0.049685,3.00e-04
85,moderate,-1.0168,1.3824,1.9607,32.8961,173,-0.015747,0.312347,0.049681,3.00e-04
86,heavy,-4.5406,4.8128,7.4602,147.2169,428,-0.017177,0.337843,0.049677,3.00e-04
87,moderate,-1.2276,1.4664,1.8448,28.8756,164,-0.018034,0.286806,0.049674,3.00e-04
88,moderate,-0.9806,1.4369,1.9207,30.5850,193,-0.018031,0.136219,0.049670,3.00e-04
89,moderate,-0.9148,1.2168,1.8077,28.7971,178,-0.019223,0.117498,0.049666,3.00e-04
90,heavy,-4.6927,4.9297,7.5582,145.7678,427,-0.017224,0.878850,0.049662,3.00e-04
91,light,-1.0259,1.1114,0.4481,7.1208,74,-0.016018,0.740670,0.049659,3.00e-04
92,light,-1.0904,1.3417,0.4196,6.1138,82,-0.016629,0.539174,0.049655,3.00e-04
93,moderate,-0.8531,1.5857,1.9133,30.5951,182,-0.016574,0.461796,0.049651,3.00e-04
94,light,-0.7131,1.2749,0.3972,5.5162,78,-0.010347,0.369679,0.049647,3.00e-04
95,heavy,-4.3085,5.5036,7.5791,148.1489,438,-0.011576,0.858488,0.049644,3.00e-04
96,heavy,-4.3324,5.4607,7.5903,148.1334,404,-0.012380,0.545027,0.049640,3.00e-04
97,moderate,-0.7472,1.7614,1.8476,28.5316,174,-0.011908,0.312504,0.049636,3.00e-04
98,heavy,-4.2688,5.3590,7.4311,142.6889,424,-0.012699,0.345210,0.049632,3.00e-04
99,heavy,-4.3122,5.2139,7.4899,144.8668,428,-0.013345,0.270390,0.049629,3.00e-04
100,moderate,-0.7919,1.9585,1.8898,28.6116,190,-0.012418,0.429149,0.049625,3.00e-04
101,moderate,-0.9470,2.0260,1.8459,27.7838,173,-0.013836,0.203714,0.049621,3.00e-04
102,moderate,-1.2897,2.0484,1.8847,29.4151,153,-0.015046,0.114220,0.049617,3.00e-04
103,light,-1.1225,1.4674,0.4281,6.1735,77,-0.016040,0.372556,0.049614,3.00e-04
104,light,-0.6411,0.8615,0.4154,5.8350,74,-0.013615,0.264567,0.049610,3.00e-04
105,heavy,-4.1799,5.3211,7.4843,143.0868,436,-0.013616,2.127923,0.049606,3.00e-04
106,heavy,-4.3862,5.2237,7.4890,143.5176,420,-0.015068,1.142779,0.049602,3.00e-04
107,light,-0.9454,1.0978,0.4211,6.0112,76,-0.014912,0.418636,0.049599,3.00e-04
108,heavy,-5.0456,5.9468,7.6695,147.8771,434,-0.017929,0.579991,0.049595,3.00e-04
109,light,-1.0942,0.9997,0.4366,6.4111,76,-0.016300,0.428033,0.049591,3.00e-04
110,moderate,-1.1275,1.7301,1.9596,30.5055,176,-0.016793,0.296878,0.049587,3.00e-04
111,heavy,-4.6829,5.5509,7.4927,144.4454,421,-0.019077,0.549575,0.049584,3.00e-04
112,light,-1.1959,1.1015,0.4493,6.7678,74,-0.019163,0.767999,0.049580,3.00e-04
113,light,-0.7602,1.0856,0.4002,5.7654,85,-0.015822,0.476910,0.049576,3.00e-04
114,heavy,-4.3745,5.1614,7.4745,148.0125,418,-0.015591,0.613259,0.049572,3.00e-04
115,light,-1.1688,1.4231,0.4266,5.8629,78,-0.016678,0.340638,0.049569,3.00e-04
116,light,-0.8174,1.0284,0.4018,5.5053,80,-0.015093,0.304421,0.049565,3.00e-04
117,moderate,-0.2976,0.9492,1.7563,27.1350,186,-0.014040,0.490078,0.049561,3.00e-04
118,moderate,-0.1835,0.8394,1.6791,24.3406,190,-0.017605,0.326254,0.049557,3.00e-04
119,light,-0.5805,1.2034,0.4199,6.1135,86,-0.010968,0.887098,0.049554,3.00e-04
120,heavy,-4.5706,5.8442,7.6037,151.0299,396,-0.015863,1.364557,0.049550,3.00e-04
121,light,-0.7351,1.2364,0.4345,6.3037,70,-0.015989,0.506479,0.049546,3.00e-04
122,heavy,-4.7595,5.6890,7.4764,142.8510,429,-0.020073,0.826654,0.049542,3.00e-04
123,light,-1.2080,1.4870,0.4078,5.9155,88,-0.017249,0.457800,0.049539,3.00e-04
124,heavy,-5.1697,6.0948,7.5875,144.0160,430,-0.019659,0.597743,0.049535,3.00e-04
125,light,-1.4981,1.5664,0.4475,6.6782,73,-0.018500,0.485550,0.049531,3.00e-04
126,heavy,-5.1232,6.1851,7.4416,144.5682,409,-0.018942,0.495909,0.049527,3.00e-04
127,light,-1.0124,1.2151,0.4160,6.1474,92,-0.018649,0.451318,0.049524,3.00e-04
128,light,-1.0804,0.9433,0.4335,6.7006,74,-0.017516,0.315791,0.049520,3.00e-04
129,light,-1.1834,1.3250,0.4184,6.1659,77,-0.017972,0.312713,0.049516,3.00e-04
130,moderate,-1.1065,1.8544,1.8044,27.9628,152,-0.017137,0.375494,0.049512,3.00e-04
131,moderate,-1.1436,1.8053,1.8013,27.7377,162,-0.017510,0.207131,0.049509,3.00e-04
132,moderate,-0.7914,1.8135,1.7493,26.4175,169,-0.016329,0.113409,0.049505,3.00e-04
133,heavy,-4.7006,6.1042,7.4029,145.6481,426,-0.018009,0.644157,0.049501,3.00e-04
134,moderate,-0.8045,1.4575,1.7657,27.6633,161,-0.017681,0.202583,0.049497,3.00e-04
135,heavy,-4.7159,6.0306,7.5251,143.7952,406,-0.017758,0.444906,0.049494,3.00e-04
136,light,-0.9290,0.8874,0.4393,6.3680,79,-0.015903,0.673932,0.049490,3.00e-04
137,moderate,-0.9393,1.3576,1.7941,28.2598,174,-0.017380,0.232408,0.049486,3.00e-04
138,light,-0.9852,0.8461,0.4359,6.3245,83,-0.018196,0.362270,0.049482,3.00e-04
139,heavy,-4.7392,6.0771,7.4420,148.8273,450,-0.018998,0.897323,0.049479,3.00e-04
140,moderate,-1.1884,1.8806,2.1005,34.6534,185,-0.018891,0.439044,0.049475,3.00e-04
141,heavy,-4.5596,5.9142,7.3289,139.1686,404,-0.020110,0.419035,0.049471,3.00e-04
142,light,-0.9157,0.7481,0.4317,6.4435,72,-0.020657,0.762657,0.049467,3.00e-04
143,light,-1.1085,1.0658,0.4175,5.9561,73,-0.021742,0.638248,0.049464,3.00e-04
144,moderate,-1.5286,2.5155,2.0127,31.7433,157,-0.019739,0.319461,0.049460,3.00e-04
145,moderate,-1.1388,1.7699,1.7962,27.0769,160,-0.017307,0.194712,0.049456,3.00e-04
146,light,-1.1322,1.2075,0.4499,6.9637,73,-0.017581,0.338278,0.049452,3.00e-04
147,light,-1.2063,1.4881,0.4060,5.7463,73,-0.017391,0.254688,0.049449,3.00e-04
148,heavy,-4.6796,5.7088,7.2861,136.8407,434,-0.015908,1.061704,0.049445,3.00e-04
149,heavy,-4.5026,5.9487,7.3893,139.6488,420,-0.016297,0.590180,0.049441,3.00e-04
150,moderate,-1.2078,2.3818,1.9443,30.5065,161,-0.016914,0.286011,0.049437,3.00e-04
151,light,-1.0715,1.6768,0.4302,6.1556,71,-0.015326,0.384447,0.049434,3.00e-04
152,light,-0.9504,1.6099,0.4332,6.3215,70,-0.015305,0.304938,0.049430,3.00e-04
153,light,-0.8735,1.4453,0.4366,6.4575,72,-0.014194,0.202269,0.049426,3.00e-04
154,heavy,-4.1474,5.8310,7.4903,146.0874,404,-0.012900,1.126162,0.049422,3.00e-04
155,light,-0.6261,1.3948,0.4202,6.0369,80,-0.013853,0.221143,0.049419,3.00e-04
156,heavy,-4.5002,6.0847,7.5579,146.2787,405,-0.014586,0.791912,0.049415,3.00e-04
157,light,-0.8209,1.1618,0.4139,5.8526,83,-0.016178,0.506484,0.049411,3.00e-04
158,moderate,-1.1016,1.9329,1.8762,29.6252,160,-0.014878,0.611352,0.049407,3.00e-04
159,heavy,-4.6771,5.7389,7.5571,142.8717,439,-0.014478,0.527126,0.049404,3.00e-04
160,heavy,-4.6896,5.6066,7.5100,145.2397,408,-0.015807,0.371497,0.049400,3.00e-04
161,moderate,-1.3318,1.8135,1.8432,28.4823,165,-0.016902,0.360483,0.049396,3.00e-04
162,moderate,-1.0390,1.5734,1.8283,29.5631,165,-0.016463,0.200242,0.049392,3.00e-04
163,light,-1.0376,1.3565,0.4093,5.7097,76,-0.017572,0.417316,0.049389,3.00e-04
164,moderate,-0.9775,1.8825,1.9830,31.2507,184,-0.016931,0.324653,0.049385,3.00e-04
165,heavy,-4.5486,5.8146,7.5694,143.0615,416,-0.015732,1.001337,0.049381,3.00e-04
166,moderate,-1.0482,2.0919,1.9325,29.9588,176,-0.015491,0.170440,0.049377,3.00e-04
167,light,-0.6962,1.1644,0.4054,5.6761,83,-0.013764,0.535667,0.049374,3.00e-04
