#{"t_start": 1776557730.566679, "env_id": "None"}
r,l,t
-185.3,367,2077.921361
-5209.2,772,2097.12766
-189.3,367,2100.901624
-5217.2,772,2123.201793
-5215.4,772,2143.805529
-188.7,367,2147.588141
-5212.8,772,2168.497962
-185.9,367,2173.586815
-604.1,367,2177.562997
-603.3,367,2180.709244
-189.5,367,2183.662805
-601.9,367,2187.438896
-5211.2,772,2209.140273
-603.9,367,2213.10686
-5219.8,772,2232.83233
-608.5,367,2237.244529
-190.5,367,2242.586981
-5222.8,772,2262.694502
-5218.6,772,2284.279464
-601.3,367,2287.601744
-5221.8,772,2308.759448
-5218.0,772,2330.067277
-193.7,367,2333.445219
-5222.2,772,2351.956799
-190.9,367,2354.32868
-5219.4,772,2373.442188
-607.1,367,2379.055997
-195.1,367,2382.971789
-190.5,367,2386.31395
-606.5,367,2389.122155
-609.9,367,2392.36873
-5218.4,772,2411.494725
-5223.6,772,2430.91766
-5221.2,772,2450.747832
-605.5,367,2456.45684
-190.5,367,2460.254596
-190.5,367,2463.689726
-612.9,367,2467.91189
-5220.2,772,2488.222108
-608.3,367,2492.318615
-191.9,367,2495.153023
-5223.6,772,2513.57587
-5218.0,772,2534.751354
-607.3,367,2538.757381
-605.5,367,2542.062596
-190.1,367,2545.441998
-607.1,367,2547.939184
-609.1,367,2552.875449
-5217.4,772,2573.073138
-194.1,367,2576.701718
-187.3,367,2580.219416
-194.5,367,2583.472504
-603.1,367,2587.153316
-607.3,367,2589.862085
-604.7,367,2593.642169
-190.1,367,2596.129649
-5221.2,772,2618.317993
-5215.2,772,2637.977659
-5218.2,772,2658.43608
-5215.0,772,2679.000222
-5217.8,772,2697.52257
-5212.2,772,2716.835623
-5219.6,772,2737.076603
-5213.0,772,2757.208878
-5221.2,772,2778.016737
-603.1,367,2781.667224
-5213.2,772,2802.173335
-5219.2,772,2821.622918
-190.9,367,2824.050994
-191.7,367,2826.914476
-5218.0,772,2846.691355
-5219.8,772,2866.825674
-610.9,367,2870.971502
-5232.6,772,2890.699778
-610.9,367,2893.455792
-614.9,367,2896.818085
-198.1,367,2899.388058
-5227.8,772,2919.648588
-196.9,367,2923.396421
-196.1,367,2927.310496
-200.5,367,2930.985017
-202.1,367,2933.383802
-5242.2,772,2951.1179
-201.3,367,2954.85624
-617.9,367,2959.187122
-617.7,367,2962.387808
-5234.2,772,2979.904622
-613.9,367,2982.575633
-197.9,367,2984.958112
-617.9,367,2989.953901
-617.3,367,2992.563047
-5238.6,772,3011.559149
-5241.8,772,3032.513886
-614.5,367,3036.628108
-200.5,367,3040.587549
-203.1,367,3044.349985
-5242.0,772,3067.118383
-623.3,367,3069.962807
-206.5,367,3072.267826
-5254.0,772,3090.205745
-5250.4,772,3111.512078
-208.3,367,3115.209944
-5258.0,772,3135.374019
-207.9,367,3139.028865
-619.1,367,3144.120294
-5245.4,772,3164.259617
-5244.8,772,3185.095912
-204.7,367,3188.395896
-204.3,367,3192.311305
-5248.2,772,3209.120821
-5243.0,772,3228.510042
-5249.6,772,3251.129006
-616.7,367,3253.948059
-200.5,367,3256.39689
-205.9,367,3259.793567
-5245.0,772,3279.948414
-5245.8,772,3300.609686
-619.1,367,3304.721347
-5248.6,772,3326.984648
-621.5,367,3331.051751
-203.5,367,3334.829075
-620.5,367,3338.783739
-204.9,367,3342.548316
-621.9,367,3348.34126
-207.3,367,3351.452345
-206.5,367,3354.640826
-619.3,367,3358.427107
-5253.6,772,3377.291557
-201.5,367,3382.769933
-199.7,367,3386.53518
-5239.2,772,3406.272947
-199.1,367,3408.839033
-5241.8,772,3428.858042
-205.1,367,3431.253038
-204.9,367,3434.010873
-617.5,367,3438.055326
-206.1,367,3441.260542
-204.9,367,3446.560462
-619.3,367,3450.710116
-5252.8,772,3472.035251
-5248.6,772,3493.172863
-617.9,367,3496.088241
-5247.2,772,3517.153571
-5251.2,772,3539.143878
-206.3,367,3544.514339
-5248.8,772,3565.16413
-200.7,367,3567.808652
-203.1,367,3571.072448
-199.9,367,3574.225283
-198.9,367,3576.65505
-5241.8,772,3597.68411
-199.5,367,3601.243932
-200.9,367,3603.857452
-610.1,367,3609.456238
-196.5,367,3613.283321
-5226.2,772,3632.407826
-612.1,367,3635.151906
-613.1,367,3639.24386
-189.1,367,3643.160006
-193.5,367,3646.883061
-5221.4,772,3667.313288
-189.1,367,3672.80592
-5223.8,772,3693.496729
-5227.4,772,3714.725137
-5224.8,772,3736.177134
-194.3,367,3738.537155
-604.7,367,3742.045415
-192.5,367,3745.086385
-5224.2,772,3764.407006
-196.1,367,3766.810492
-609.9,367,3769.340786
-193.3,367,3771.762029
-193.5,367,3775.374411
-5229.8,772,3798.685935
-606.5,367,3802.757018
-194.7,367,3806.578138
-5227.0,772,3827.496673
-195.3,367,3832.195779
-5231.2,772,3850.94989
-609.7,367,3853.514187
-198.7,367,3857.258397
-195.5,367,3860.270197
-193.5,367,3865.246252
-611.1,367,3868.434163
-614.1,367,3872.512519
-606.5,367,3875.367218
-5229.8,772,3897.597809
-608.7,367,3901.529066
-610.3,367,3905.758509
-610.5,367,3909.974674
-5224.2,772,3930.838814
-191.3,367,3934.911405
-190.1,367,3938.843667
-5228.6,772,3958.794909
-5223.6,772,3979.683243
-192.5,367,3983.427869
-191.9,367,3986.166996
-192.9,367,3988.898037
