#{"t_start": 1776407703.9458294, "env_id": "None"}
r,l,t
-201.9,367,3.447963
-5239.4,768,21.936938
-5226.5,768,39.857563
-5216.3,772,59.839471
-5254.2,768,78.121964
-203.8,367,80.741456
-196.7,367,85.054269
-202.9,367,87.989402
-654.6,369,91.756338
-665.9,369,95.532889
-196.1,367,98.167002
-5237.2,769,118.12611
-196.8,367,120.650571
-5191.9,772,139.322717
-5197.0,768,159.265176
-5242.2,769,179.66003
-198.9,367,183.334232
-5239.0,772,203.111229
-725.0,367,208.571097
-208.3,367,212.21517
-674.1,367,215.072366
-664.3,370,218.800596
-5226.2,769,239.150724
-648.6,367,241.819254
-663.3,367,245.227746
-638.5,367,248.563978
-206.7,367,250.987722
-678.9,367,253.500237
-664.4,367,258.432119
-198.0,367,261.011281
-5286.7,768,279.773232
-203.0,367,282.144804
-5200.1,768,301.698592
-671.4,369,304.426886
-201.9,367,307.640968
-5202.7,768,328.339031
-644.3,367,332.324628
-5227.5,768,352.431574
-5270.2,769,371.007205
-5263.1,768,391.547551
-5217.0,768,410.679967
-675.6,370,414.090948
-200.0,367,418.295913
-201.7,367,421.373126
-5244.6,772,438.840406
-5217.0,768,457.027586
-198.2,367,461.385379
-196.5,367,463.932978
-678.4,368,467.983563
-665.4,367,471.425331
-5207.4,772,492.616837
-195.2,368,494.987549
-5265.1,768,514.309231
-664.4,372,517.349423
-5245.3,768,536.144275
-5276.9,768,555.1264
-197.1,367,558.938555
-637.6,368,562.376316
-198.2,367,567.49954
-200.9,368,570.494696
-5232.3,773,590.82007
-202.0,367,593.558709
-198.9,367,598.157803
-5211.8,769,615.953312
-661.4,367,619.30759
-5254.4,772,638.726718
-647.9,367,643.706757
-192.7,367,646.744995
-660.7,367,650.294579
-198.9,367,653.205729
-654.1,367,656.35912
-5183.1,768,678.139471
-653.4,367,680.947722
-5221.5,768,700.353348
-657.5,367,703.862137
-5250.8,772,724.978526
-5210.3,769,744.93679
-672.3,367,747.812646
-682.2,367,752.139507
-202.6,367,754.580234
-688.2,368,757.269243
-206.0,367,759.891588
-5210.6,768,778.496911
-5206.7,768,800.817061
-666.9,370,803.601105
-652.3,367,806.775971
-204.3,367,809.413425
-662.6,367,813.625606
-197.1,367,817.367583
-675.3,367,820.138061
-195.8,367,822.466593
-665.9,367,825.996803
-669.9,367,829.934301
-646.5,367,835.253755
-199.6,367,838.224382
-201.6,367,840.581337
-5192.2,768,858.764426
-207.1,367,863.379692
-665.0,368,866.218527
-208.7,367,869.060814
-5197.2,768,888.820547
-660.0,367,892.940839
-5305.5,772,913.392862
-671.9,367,916.064082
-5222.5,772,934.595975
-653.6,367,939.967547
-673.6,367,943.917571
-700.2,368,947.359033
-723.1,367,950.854416
-5244.0,768,970.595523
-204.2,367,974.329021
-200.7,367,977.815729
-5248.4,768,996.735591
-658.0,367,999.955536
-5216.7,769,1021.1261
-666.4,367,1025.345593
-651.1,367,1029.542125
-5291.4,773,1049.835595
-197.1,367,1053.289618
-639.3,367,1056.896279
-197.2,367,1059.53075
-5234.7,772,1079.506906
-204.4,370,1083.815729
-195.7,367,1087.429227
-642.9,367,1090.403682
-195.3,367,1092.717738
-5235.1,772,1113.930527
-5241.8,768,1132.183773
-650.3,367,1135.776206
-193.0,367,1138.185747
-5183.2,768,1158.056025
-640.7,367,1161.318111
-190.7,367,1164.381111
-669.7,367,1167.146256
-196.4,367,1169.490913
-669.5,367,1174.175992
-677.4,367,1176.763241
-201.0,367,1180.05552
-5199.4,768,1198.809574
-203.2,367,1202.63339
-196.4,367,1206.977442
-5210.0,768,1225.477613
-5166.3,773,1242.900074
-672.3,367,1248.147329
-5222.9,773,1266.933633
-5201.7,768,1285.660281
-5159.2,772,1303.911174
-193.5,367,1306.851624
-190.3,367,1309.907942
-5177.3,772,1329.682703
-193.5,367,1334.362278
-625.3,368,1337.796725
-5181.5,768,1357.129108
-653.5,367,1360.353645
-649.1,367,1365.250831
-647.9,367,1368.64204
