#{"t_start": 1776475971.66241, "env_id": "None"}
r,l,t
-588.3,367,4.779655
-178.1,367,8.087008
-5186.0,772,31.556607
-588.9,367,35.354036
-589.3,367,40.771257
-174.5,367,43.938681
-5184.2,772,62.178985
-587.3,367,64.900965
-588.5,367,68.28964
-590.9,367,70.87182
-175.1,367,73.530596
-591.1,367,76.326472
-590.1,367,78.950665
-581.3,367,82.41251
-591.9,367,85.953536
-588.5,367,89.261709
-5182.0,772,109.618423
-170.1,367,112.782156
-590.7,367,115.941031
-5185.0,772,138.129724
-5180.6,772,158.224033
-177.1,367,160.848193
-590.1,367,164.226659
-590.7,367,166.816329
-170.3,367,169.222428
-171.9,367,173.12472
-588.9,367,177.096377
-586.1,367,182.800486
-585.9,367,186.964484
-174.3,367,190.495459
-5179.8,772,211.538238
-173.1,367,213.958086
-173.9,367,217.285996
-587.3,367,220.368078
-5182.0,772,241.348992
-588.3,367,245.255117
-172.7,367,250.568924
-172.1,367,254.408153
-5179.2,772,275.049512
-5183.8,772,294.463258
-5176.4,772,315.943609
-169.1,367,319.87875
-5178.6,772,339.514383
-5179.2,772,361.124703
-5175.4,772,382.167144
-5177.6,772,403.412249
-5170.2,772,423.446778
-585.5,367,427.455851
-583.3,367,430.774944
-5175.8,772,451.803625
-168.9,367,455.601806
-168.3,367,458.291633
-169.5,367,460.857622
-583.3,367,463.502314
-581.9,367,469.132195
-580.9,367,473.084454
-167.1,367,476.865473
-581.1,367,479.528627
-166.1,367,482.019945
-166.1,367,485.522253
-165.9,367,490.883115
-5172.2,772,512.081703
-5172.2,772,532.525239
-5166.4,772,552.042478
-169.1,367,555.020099
-580.7,367,559.072771
-579.7,367,562.925992
-165.5,367,566.702032
-5169.0,772,590.27041
-168.9,367,594.143148
-168.3,367,597.630214
-581.3,367,601.679307
-5176.6,772,622.994104
-169.5,367,625.680685
-583.5,367,628.727521
-5174.4,772,649.229398
-5171.2,772,671.072693
-5167.4,772,692.711159
-5169.0,772,714.779761
-5176.4,772,735.04334
-167.5,367,737.826981
-170.3,367,740.261225
-5170.2,772,762.087588
-5168.0,772,782.056615
-5164.8,772,802.015704
-579.1,367,806.561904
-5160.2,772,826.692902
-5167.4,772,847.117718
-582.3,367,852.659641
-582.7,367,856.728956
-168.3,367,860.353101
-5168.4,772,879.316813
-167.3,367,882.433096
-583.3,367,886.785356
-168.1,367,890.496487
-5174.8,772,912.022272
-5174.2,772,932.725174
-581.9,367,935.489992
-164.3,367,938.184407
-583.5,367,940.774537
-166.9,367,943.153166
-166.3,367,946.405041
-169.9,367,948.805816
-168.5,367,951.252466
-5174.8,772,970.338352
-167.7,367,973.12222
-5169.8,772,993.688712
-579.9,367,996.430809
-580.7,367,1000.508056
-165.5,367,1004.34651
-165.3,367,1008.02569
-5171.2,772,1027.226592
-165.1,367,1030.394326
-167.3,367,1034.173476
-581.1,367,1038.26527
-578.9,367,1043.340279
-578.9,367,1045.914243
-5158.8,772,1066.284365
-576.9,367,1070.32621
-578.9,367,1075.810045
-5161.2,772,1095.883327
-163.3,367,1099.673806
-5163.8,772,1119.162343
-5167.4,772,1140.664799
-579.5,367,1144.488589
-166.5,367,1148.297565
-581.1,367,1152.325154
-580.1,367,1155.852572
-5166.8,772,1176.509309
-167.1,367,1180.065468
-581.3,367,1182.652136
-577.3,367,1186.557657
-162.7,367,1191.959428
-578.9,367,1196.171326
-580.1,367,1199.830238
-580.5,367,1203.844424
-165.7,367,1207.545132
-5166.4,772,1229.510786
-5171.2,772,1250.906708
-5167.8,772,1271.817134
-578.1,367,1275.119092
-5167.4,772,1295.854188
-577.9,367,1298.899793
-5163.6,772,1319.782467
-5160.4,772,1341.105789
-5164.6,772,1361.359833
-5161.0,772,1383.955282
-5165.0,772,1404.477783
-578.5,367,1408.495255
-579.3,367,1412.58413
-163.3,367,1416.087245
-163.1,367,1419.667702
-163.9,367,1423.461074
-578.7,367,1427.628632
-165.9,367,1431.401827
-576.9,367,1435.950636
-5165.0,772,1457.463484
-579.5,367,1461.415941
-580.5,367,1465.480879
-165.9,367,1469.315373
-167.1,367,1474.290854
-582.9,367,1476.873049
-169.9,367,1479.332248
-167.5,367,1482.440936
-5170.4,772,1503.371832
-580.7,367,1506.853337
-5164.6,772,1525.529729
-5165.4,772,1547.287694
-166.7,367,1552.833837
-167.3,367,1556.52773
-582.7,367,1560.611358
-165.7,367,1564.337036
-166.9,367,1567.171201
-167.7,367,1572.471764
-5166.0,772,1592.254079
-580.5,367,1596.114145
-5162.2,772,1617.072933
-578.5,367,1620.548175
-161.5,367,1623.207169
-161.9,367,1625.6142
-5160.6,772,1645.471937
-5162.8,772,1665.93736
-5162.0,772,1685.72106
-578.3,367,1689.758454
-162.1,367,1693.896382
-575.5,367,1697.895202
-574.7,367,1701.793341
-161.7,367,1705.173937
-575.7,367,1709.076607
-575.1,367,1712.855979
-163.5,367,1717.087974
-160.9,367,1719.797032
-576.3,367,1723.708604
-5160.0,772,1744.703819
-163.9,367,1749.842566
-579.9,367,1752.459436
-164.7,367,1756.105657
-164.3,367,1759.838344
-5163.0,772,1780.744642
-579.1,367,1785.92328
-579.9,367,1789.646823
-577.7,367,1793.316983
-163.1,367,1796.602221
-578.3,367,1800.676591
-162.9,367,1804.392422
-579.3,367,1810.121841
-5162.2,772,1829.276412
-5164.0,772,1850.969549
-578.1,367,1856.682382
-166.9,367,1860.50853
-580.9,367,1864.574564
-581.1,367,1867.82293
-579.3,367,1871.970664
-165.3,367,1877.142223
-167.1,367,1879.62798
-164.5,367,1882.165435
-5167.4,772,1903.302353
-579.9,367,1906.319708
-5163.8,772,1928.309418
-5162.4,772,1949.299938
-163.1,367,1953.133907
-5159.4,772,1975.792034
-161.5,367,1979.684376
-162.3,367,1982.377718
-160.7,367,1985.033101
-575.5,367,1988.804649
-163.1,367,1994.097748
-579.9,367,1998.273375
-578.1,367,2002.385181
-164.5,367,2005.239089
-578.5,367,2008.618712
-163.7,367,2013.990507
-5161.0,772,2034.818166
-578.5,367,2038.128334
-581.5,367,2042.120971
-5163.6,772,2064.151816
-164.5,367,2066.812242
-579.9,367,2069.382123
-577.7,367,2071.997039
-579.7,367,2075.481229
-163.9,367,2080.861212
-165.9,367,2083.468648
-5166.0,772,2103.068316
-5170.2,772,2123.162284
-583.9,367,2126.585445
-584.1,367,2129.269732
-169.1,367,2132.695218
-5173.0,772,2154.525409
-5174.0,772,2176.062874
-582.3,367,2180.098511
-5175.4,772,2201.655208
-173.1,367,2205.535751
-166.9,367,2211.00117
-579.9,367,2215.050838
-5167.4,772,2235.023335
-5167.4,772,2258.488896
-163.9,367,2262.015397
-5165.2,772,2283.386949
-164.3,367,2287.287678
-165.3,367,2292.655748
-5161.0,772,2313.205574
-5165.6,772,2332.955769
-163.5,367,2336.524765
-5159.2,772,2358.187753
-576.9,367,2362.108345
-5155.6,772,2381.853381
-578.3,367,2386.933255
-161.3,367,2390.45028
-578.7,367,2394.474108
-578.1,367,2397.764534
-5159.2,772,2419.266228
-578.1,367,2424.806376
-5162.4,772,2443.513472
-5162.2,772,2463.055321
-577.9,367,2467.547169
-164.9,367,2471.410595
-5166.0,772,2490.640968
-164.1,367,2493.02685
-163.1,367,2497.563455
-162.5,367,2500.891998
-164.5,367,2504.752685
-577.9,367,2508.779409
-5158.4,772,2529.52613
-579.5,367,2535.29314
-161.1,367,2538.51838
-578.7,367,2541.156666
-5168.4,772,2559.517221
-578.1,367,2564.905396
-162.7,367,2568.565999
-5157.4,772,2586.629566
-577.5,367,2589.247646
-577.9,367,2591.888493
-163.7,367,2595.166219
-5157.4,772,2615.596237
-5159.8,772,2633.570658
