#{"t_start": 1778100212.916497, "env_id": "None"}
r,l,t
-15.94,367,3.456873
-15.94,367,6.924936
-25.36,768,26.826073
-11.66,367,30.627209
-24.76,768,52.34402
-11.26,367,56.121154
-14.84,367,59.774795
-15.64,367,63.425276
-21.26,768,85.329325
-18.56,768,104.80339
-9.06,367,108.670189
-12.04,367,111.73781
-11.94,367,114.071175
-10.86,367,118.130808
-10.26,367,121.426043
-17.36,768,141.21083
-8.96,367,146.309205
-9.94,367,150.019298
-10.16,768,171.607523
-10.74,367,175.255624
-12.06,768,196.619004
-5.96,367,200.62182
-10.24,367,204.180575
-9.04,367,206.812417
-10.56,768,227.532914
-7.24,367,230.917721
-9.66,768,250.730657
-6.94,367,254.454282
-7.66,768,274.010232
-5.36,768,294.727073
-4.66,367,298.419376
-5.96,768,320.210588
-2.76,768,340.501458
-3.26,768,360.599293
-1.46,367,363.585878
-2.16,768,382.452542
-2.36,367,386.279333
-4.74,367,389.277025
-5.14,367,391.659657
-1.26,768,413.081741
1.14,367,416.583868
-0.96,768,436.94591
0.44,367,440.609951
-3.54,367,444.240941
0.04,367,448.114639
-3.74,367,451.692375
-1.26,768,472.189716
1.64,367,477.216203
0.54,367,480.603818
0.74,367,484.542529
3.84,768,504.695547
-3.04,367,507.681402
-1.54,367,510.027695
1.24,367,513.280481
4.44,768,532.837279
1.64,367,535.480025
1.94,367,540.440073
2.24,367,544.279244
2.04,367,547.981938
2.94,367,551.872276
-0.84,367,555.519205
-2.14,367,559.249612
-0.94,367,562.931214
-0.84,367,566.413819
5.54,768,587.779079
4.24,768,610.353569
-0.94,367,613.889989
6.44,768,633.936957
-0.64,367,637.583101
2.74,367,641.246802
3.34,367,645.225769
6.24,768,666.031161
0.16,367,668.995503
-0.94,367,671.302376
7.54,768,694.238225
3.14,367,697.88993
2.94,367,701.738206
8.84,768,722.065715
3.54,367,725.94718
8.34,768,748.021186
0.16,367,751.736076
8.44,768,774.2428
3.54,367,778.171122
4.64,367,782.07362
9.24,768,803.759459
4.04,367,807.806466
1.06,367,811.440623
9.74,768,830.483364
4.74,367,834.468306
4.64,367,838.68744
9.54,768,860.14653
0.56,367,863.902153
0.76,367,867.543535
0.86,367,871.105218
10.14,768,892.085441
1.86,367,895.719959
4.34,367,899.40638
9.94,768,921.307929
4.84,367,925.138854
4.74,367,928.914016
4.54,367,932.736811
4.24,367,936.74718
1.16,367,939.943842
0.96,367,942.973467
1.26,367,946.406144
10.44,768,967.793401
10.44,768,989.259413
5.04,367,992.62988
11.04,768,1012.89408
1.46,367,1016.558769
10.64,768,1037.028295
1.26,367,1040.673621
5.04,367,1044.249525
10.84,768,1064.941258
4.64,367,1068.984435
1.56,367,1072.538529
1.26,367,1076.112629
11.24,768,1098.728385
4.84,367,1102.695592
4.04,367,1106.568249
1.66,367,1110.372168
10.44,768,1130.582952
5.34,367,1133.847548
4.74,367,1139.103339
5.04,367,1142.94352
1.56,367,1146.656049
2.16,367,1149.540519
1.66,367,1152.038802
1.56,367,1155.023808
11.74,768,1173.137703
2.06,367,1175.564054
11.44,768,1192.827267
11.74,768,1215.015897
1.76,367,1218.621047
1.76,367,1222.35295
1.76,367,1226.043413
11.44,768,1244.817805
11.74,768,1264.930155
1.76,367,1267.837101
11.54,768,1288.443506
5.44,367,1292.506376
1.86,367,1295.66431
2.06,367,1299.32332
5.34,367,1303.161748
5.14,367,1306.436903
5.34,367,1309.033451
1.96,367,1311.451414
11.64,768,1333.098625
1.86,367,1336.880871
5.24,367,1341.688134
5.34,367,1345.372133
2.06,367,1348.863931
1.86,367,1352.413815
12.04,768,1372.227037
5.44,367,1376.138565
2.06,367,1379.179995
11.94,768,1399.018636
5.54,367,1402.455955
1.76,367,1406.761346
5.54,367,1409.407018
5.44,367,1412.347285
11.54,768,1432.01935
1.96,367,1435.328165
1.86,367,1439.201423
5.44,367,1443.174107
5.14,367,1447.143197
12.04,768,1466.722202
11.34,768,1489.105694
11.84,768,1509.474645
1.56,367,1513.201036
1.96,367,1516.68963
12.14,768,1536.8865
1.76,367,1540.481742
5.34,367,1544.508838
5.44,367,1548.473726
5.44,367,1553.837331
1.86,367,1556.842194
12.34,768,1577.035044
5.34,367,1580.806996
2.16,367,1584.293498
12.04,768,1604.290429
5.54,367,1608.180598
2.06,367,1611.77436
12.14,768,1634.569553
2.06,367,1638.024941
12.34,768,1658.386231
1.96,367,1661.902643
5.64,367,1665.878299
2.16,367,1668.722691
12.34,768,1690.44946
5.34,367,1693.302129
12.14,768,1713.319726
1.96,367,1716.991446
5.54,367,1719.540522
5.64,367,1722.081925
5.64,367,1725.861577
1.96,367,1729.460624
2.16,367,1732.550572
1.96,367,1736.229004
12.14,768,1757.372616
1.86,367,1761.004494
12.44,768,1783.360344
12.54,768,1803.937621
2.06,367,1806.540192
2.16,367,1810.031982
12.34,768,1830.822591
12.34,768,1848.997081
5.54,367,1853.711879
2.16,367,1857.269902
5.64,367,1861.243276
12.34,768,1883.198607
5.64,367,1886.970737
2.16,367,1890.124943
5.64,367,1893.98979
12.34,768,1915.616474
2.16,367,1919.262397
12.14,768,1941.200989
5.54,367,1944.844186
1.96,367,1947.470178
12.34,768,1967.287967
12.24,768,1987.997114
2.06,367,1991.671497
5.34,367,1995.576818
2.06,367,1999.251245
1.86,367,2004.381737
2.06,367,2006.900281
1.86,367,2009.346271
11.84,768,2027.525889
5.54,367,2030.598758
5.54,367,2033.118352
2.06,367,2035.555265
12.24,768,2055.997815
5.54,367,2059.261912
5.54,367,2064.230399
1.96,367,2067.911771
5.44,367,2071.27632
5.54,367,2075.270427
12.04,768,2096.616168
1.96,367,2100.293843
5.54,367,2104.218153
1.66,367,2107.708482
12.24,768,2128.311164
11.94,768,2150.719454
1.76,367,2154.285789
1.96,367,2157.397486
12.24,768,2176.821676
5.34,367,2180.358787
5.54,367,2183.802781
1.86,367,2187.307261
1.86,367,2189.800611
2.06,367,2192.183464
12.44,768,2213.888503
2.06,367,2216.636916
12.24,768,2236.567244
5.54,367,2240.444756
12.24,768,2260.724404
12.44,768,2281.641451
12.14,768,2303.419838
5.14,367,2306.144088
4.94,367,2308.888959
1.46,367,2312.515455
10.44,768,2333.199245
10.54,768,2352.801325
10.04,768,2374.558168
4.34,367,2378.659673
5.24,367,2384.129668
4.54,367,2388.000535
1.26,367,2391.498754
1.36,367,2395.206762
1.16,367,2398.687719
5.04,367,2402.508341
5.14,367,2406.383697
4.84,367,2410.176208
11.14,768,2430.369991
1.06,367,2433.920516
11.64,768,2456.825986
10.94,768,2478.810404
11.94,768,2499.168565
12.04,768,2520.433713
10.94,768,2541.663765
1.96,367,2545.157433
11.34,768,2566.06725
5.44,367,2569.655729
10.74,768,2589.646521
11.44,768,2609.781647
1.66,367,2613.369781
4.94,367,2617.207103
11.44,768,2639.894738
11.64,768,2660.820823
11.84,768,2682.081076
11.34,768,2702.170311
1.96,367,2705.816495
12.04,768,2725.670267
1.66,367,2729.360008
12.04,768,2752.038406
1.46,367,2755.66281
5.14,367,2759.623892
12.04,768,2781.3479
5.34,367,2785.372968
1.76,367,2789.060921
12.04,768,2808.020795
5.64,367,2811.734191
5.64,367,2817.406289
5.64,367,2821.050745
12.04,768,2841.588332
11.44,768,2862.550042
11.94,768,2882.29055
2.16,367,2885.912021
1.56,367,2889.159385
11.64,768,2913.291118
1.86,367,2916.912265
1.66,367,2920.786768
5.24,367,2924.6279
1.66,367,2927.628788
12.54,768,2949.580611
1.96,367,2953.230495
5.44,367,2956.612338
2.16,367,2960.129019
11.84,768,2982.766454
12.24,768,3004.103999
2.16,367,3007.525159
5.64,367,3009.970155
5.64,367,3012.511088
5.64,367,3014.947341
5.44,367,3017.36631
12.04,768,3038.009085
5.14,367,3041.997898
12.04,768,3063.981581
5.44,367,3066.973916
1.96,367,3070.569896
12.34,768,3092.117953
12.54,768,3113.719061
2.16,367,3117.499959
5.64,367,3121.186239
12.34,768,3143.067094
5.64,367,3145.584994
1.96,367,3147.920732
12.24,768,3169.499623
1.96,367,3173.302129
5.64,367,3177.30302
12.34,768,3197.553402
5.64,367,3201.439329
12.34,768,3223.336977
2.16,367,3226.259786
5.64,367,3228.664092
2.16,367,3231.06121
2.16,367,3234.676759
12.34,768,3255.930242
12.34,768,3276.381456
12.34,768,3299.007425
11.24,768,3319.259301
1.86,367,3323.021216
5.24,367,3326.89143
11.34,768,3348.222663
11.14,768,3369.194938
11.14,768,3388.593521
4.74,367,3394.190486
2.06,367,3397.647349
5.04,367,3401.100887
2.06,367,3404.621785
1.56,367,3408.215674
5.24,367,3412.195507
11.34,768,3432.884198
11.44,768,3454.30124
5.04,367,3458.295088
5.44,367,3464.096965
11.54,768,3485.991567
1.56,367,3489.505487
11.04,768,3511.04838
11.64,768,3531.755672
1.66,367,3535.388407
2.06,367,3538.96635
12.04,768,3562.03848
1.66,367,3565.695339
5.24,367,3569.516971
1.66,367,3572.839785
11.74,768,3594.051916
1.86,367,3597.654147
5.34,367,3601.473457
1.76,367,3604.798793
1.86,367,3608.20102
11.64,768,3630.196335
11.94,768,3650.550436
5.34,367,3654.254478
11.94,768,3675.093146
12.04,768,3697.239379
5.54,367,3701.177474
1.86,367,3704.427836
5.34,367,3708.346849
11.64,768,3732.273846
5.54,367,3736.368745
11.84,768,3758.362489
11.84,768,3779.378495
5.54,367,3783.184455
12.24,768,3803.849586
5.34,367,3807.702075
2.06,367,3812.875055
5.24,367,3816.772606
5.34,367,3820.598226
1.86,367,3824.139929
5.64,367,3827.935055
12.04,768,3847.570704
2.06,367,3851.164011
5.64,367,3854.754751
12.24,768,3876.119965
12.34,768,3899.005956
1.86,367,3902.562294
2.06,367,3906.212153
2.06,367,3909.612726
5.54,367,3913.474743
12.44,768,3933.432247
5.44,367,3935.970725
1.96,367,3938.571074
12.44,768,3960.616202
12.24,768,3981.640915
5.44,367,3985.640274
5.44,367,3989.252081
5.54,367,3993.175957
12.14,768,4015.368717
2.06,367,4018.958244
1.96,367,4022.678462
12.24,768,4045.191731
12.14,768,4064.462676
5.54,367,4067.523594
5.54,367,4070.284855
5.54,367,4073.182657
2.06,367,4075.615251
2.06,367,4078.764214
5.34,367,4082.548443
2.16,367,4086.298063
1.96,367,4091.689496
12.54,768,4113.724169
12.44,768,4135.248847
1.96,367,4137.80218
12.24,768,4157.526531
12.34,768,4178.586031
12.44,768,4201.734983
2.06,367,4205.303391
2.16,367,4207.611783
12.24,768,4227.954027
5.44,367,4231.862041
12.34,768,4253.076446
12.44,768,4274.400123
2.06,367,4277.043788
5.64,367,4281.420808
1.86,367,4284.778172
2.16,367,4287.378178
5.34,367,4289.982817
12.54,768,4310.055819
2.16,367,4313.602174
2.06,367,4317.167185
1.86,367,4320.169893
5.64,367,4322.933608
5.44,367,4325.388774
12.54,768,4348.599378
5.64,367,4352.575345
12.54,768,4373.201299
2.16,367,4376.638932
12.24,768,4396.594848
12.04,768,4417.754286
12.34,768,4440.256803
12.14,768,4460.640592
1.86,367,4463.41868
12.54,768,4484.02156
5.64,367,4486.802572
12.34,768,4506.684317
12.34,768,4527.603105
2.16,367,4532.879936
5.64,367,4536.430796
5.64,367,4540.219231
2.16,367,4543.753818
2.06,367,4547.565371
12.54,768,4567.022099
1.96,367,4569.401981
1.96,367,4572.036518
2.16,367,4575.721158
2.16,367,4579.288467
12.54,768,4602.321246
12.24,768,4623.81636
1.86,367,4627.3661
1.96,367,4630.709155
2.16,367,4634.384636
5.44,367,4638.384848
5.14,367,4642.169156
