#{"t_start": 1776373617.1096044, "env_id": "None"}
r,l,t
-5040.7,772,2147.038831
-616.3,368,2150.385923
-188.3,367,2153.735728
-189.7,367,2156.311956
-5076.8,766,2176.144442
-610.9,367,2179.291556
-5069.0,767,2198.351133
-5080.9,767,2218.50968
-184.4,367,2222.241135
-185.6,367,2226.063157
-191.0,367,2228.916757
-5105.0,767,2247.475112
-605.3,367,2250.777304
-185.9,367,2253.516833
-615.2,368,2256.76972
-616.2,367,2259.545805
-5058.5,772,2278.374584
-183.1,368,2281.771691
-608.6,367,2284.313823
-5103.7,772,2304.01359
-185.6,367,2307.575458
-5065.9,772,2326.631442
-5086.5,772,2344.060986
-608.1,367,2348.68715
-5077.3,767,2367.658742
-615.0,372,2370.362227
-5056.2,772,2390.594636
-5050.4,772,2409.767006
-619.3,367,2412.929111
-614.9,367,2416.202832
-187.1,367,2418.528668
-5065.1,773,2437.775806
-619.2,367,2441.542466
-624.1,367,2444.816626
-5097.2,767,2466.111025
-614.1,367,2469.444822
-611.4,367,2472.595712
-187.6,367,2474.953476
-619.5,368,2478.656034
-5130.4,766,2498.476432
-5049.9,772,2515.618766
-5057.2,767,2534.678088
-617.9,367,2539.662437
-5017.8,767,2557.525788
-5095.5,773,2576.214801
-190.7,368,2580.670837
-4990.2,772,2599.618337
-5072.2,772,2617.636142
-5093.4,772,2636.538292
-194.1,367,2639.14143
-5107.2,766,2658.714288
-617.0,367,2662.244854
-5075.1,767,2682.238509
-5031.1,772,2700.289429
-5072.5,773,2720.152002
-5030.2,767,2738.407951
-633.0,368,2742.132836
-194.9,367,2745.868063
-193.2,367,2748.673421
-5084.0,766,2769.284095
-4978.9,773,2787.606984
-5063.9,766,2806.422841
-5007.0,767,2824.73112
-4995.4,772,2842.989717
-5065.2,765,2863.040043
-198.6,367,2865.837195
-203.9,367,2868.335875
-5053.8,767,2885.181275
-631.4,368,2889.344417
-5057.0,766,2908.825828
-634.4,367,2911.944187
-5073.5,766,2929.536964
-5035.8,766,2944.862169
-5081.3,765,2961.568164
-198.0,367,2964.318145
-5106.8,767,2984.06906
-626.3,371,2986.794755
-5039.8,767,3005.61812
