#{"t_start": 1776390695.6294084, "env_id": "None"}
r,l,t
-203.0,367,2.359377
-672.0,369,5.480006
-677.4,371,8.130306
-5281.3,781,26.799603
-667.6,370,29.992072
-210.1,366,32.461442
-206.5,363,34.851052
-732.1,369,37.928197
-204.1,364,41.053147
-692.2,370,44.943878
-200.0,367,48.9873
-657.4,365,52.761264
-205.7,366,56.560279
-658.7,367,60.697839
-668.4,364,64.150896
-198.9,366,69.321812
-5227.1,768,87.853875
-199.3,369,90.983107
-663.2,371,94.101232
-5254.3,768,114.987062
-196.7,364,117.625819
-192.3,363,120.881202
-5212.3,768,138.469094
-186.8,363,143.048789
-658.4,365,146.899287
-657.6,366,149.614038
-657.7,364,152.213088
-654.4,364,155.247522
-5215.0,769,174.904855
-197.7,365,178.621003
-5211.3,768,197.658209
-668.0,367,201.237629
-201.0,363,206.040616
-673.7,364,208.535102
-673.1,370,211.069849
-5226.5,768,230.022939
-197.0,363,233.182154
-198.9,366,236.115365
-5218.7,768,253.639883
-627.9,368,257.851815
-680.3,367,261.918417
-674.6,367,265.405918
-664.7,365,269.330275
-193.8,367,273.168229
-193.8,365,276.037959
-653.2,365,278.515577
-5198.1,768,297.157825
-654.6,365,301.107558
-196.8,363,304.867037
-195.4,363,308.252798
-190.7,363,312.090685
-5177.3,770,332.581329
-5224.0,770,350.783654
-5232.3,769,372.046229
-5182.0,768,390.950823
-188.2,363,394.234796
-679.7,369,397.568762
-195.6,363,401.18238
-646.8,369,406.489799
-645.2,367,410.016931
-193.9,363,412.335824
-5203.3,769,429.620628
-191.8,363,434.311025
-195.5,364,437.044031
-679.3,366,441.047612
-5217.5,774,459.648108
-5179.1,768,480.166554
-193.8,363,483.190224
-656.2,364,485.697411
-196.4,365,489.599144
-5252.7,768,507.641731
-5182.3,768,527.785807
-196.8,363,530.135717
-648.5,371,532.793401
-5242.1,768,553.316853
-5220.1,769,573.229126
-203.0,369,576.870187
-5252.0,775,597.573268
-742.4,371,601.300768
-5220.6,768,621.863354
-5244.7,770,642.637006
-197.2,363,645.641885
-5205.4,768,663.852365
-656.3,364,667.954851
-689.4,367,670.917287
-5229.3,768,688.962674
-197.3,365,691.322061
-643.5,367,695.314689
-198.0,363,698.438807
-5213.5,768,717.972988
-5231.6,768,735.617904
-199.4,365,737.935326
-651.7,365,740.415951
-678.2,365,745.349869
-5190.2,768,764.90357
-673.3,366,767.894135
-5225.4,770,785.752503
-5201.8,769,802.424853
-5201.6,768,821.132533
-664.5,365,824.473181
-189.3,363,829.572697
-193.4,363,832.938396
-5179.5,768,852.920527
-635.7,366,855.954789
-653.6,369,860.105839
-5209.2,769,880.504951
-650.3,369,883.643622
-644.9,364,886.340855
-671.4,368,888.828884
-5198.7,768,907.777856
-191.7,363,910.658808
-193.0,366,913.413845
-665.8,366,916.399372
-678.0,368,919.566632
-5181.5,768,939.961606
-192.1,366,943.337604
-5183.8,768,962.481208
-643.1,364,968.108931
-199.0,365,971.95789
-195.6,363,975.420155
-657.3,365,978.123171
-676.6,365,981.362777
-645.9,369,986.859838
-632.6,367,989.86355
-193.3,365,993.083191
-195.8,367,996.754832
-5220.3,768,1016.40279
-5224.3,769,1036.664234
-196.6,366,1039.166378
-660.4,370,1042.226198
-5236.5,768,1060.798177
-201.0,366,1064.011957
-200.3,366,1066.360053
-5206.0,768,1084.871218
-5212.4,768,1105.657881
-657.4,365,1108.594123
-196.1,363,1111.927874
-653.6,367,1114.443089
-663.0,370,1117.642327
-194.0,363,1120.860662
-198.4,363,1123.981285
-653.3,368,1126.63258
-190.0,363,1130.079806
-193.7,366,1133.657141
-653.2,364,1136.698645
-5198.4,768,1155.633662
-645.7,367,1158.340238
-5212.2,768,1176.983009
-193.6,363,1180.020695
-681.2,364,1183.445695
-5207.8,768,1201.151145
-5197.0,768,1221.313598
-672.3,367,1224.754444
-5214.1,778,1244.558943
-5214.6,768,1264.668275
-5230.5,772,1285.737596
-675.9,365,1289.335241
-663.4,369,1292.968024
-5222.8,769,1313.153026
-5233.5,770,1330.98955
-685.1,368,1335.206729
-659.8,364,1338.356752
-5150.7,768,1358.480283
-650.9,367,1362.259286
-202.5,363,1364.813619
-5224.5,769,1384.312772
-5283.8,792,1403.758701
-703.0,364,1407.597715
-205.5,363,1411.152855
-644.2,364,1414.777074
-667.9,368,1417.538309
-5277.9,779,1436.944448
-666.4,369,1439.543844
-5234.0,768,1458.084304
-5243.3,770,1477.439004
-729.9,366,1480.768245
-199.5,368,1483.204582
-198.1,363,1485.494982
-679.0,367,1489.59614
-195.6,363,1492.260929
-5175.3,768,1510.652894
-5267.1,779,1528.52146
-646.2,364,1533.320056
-193.9,363,1536.528767
-199.3,365,1538.942539
-662.4,372,1541.750948
-199.8,367,1544.609275
-683.3,370,1550.381508
-667.2,364,1553.387913
-197.1,365,1556.70294
-5202.9,768,1574.206241
-199.2,363,1576.828204
-197.6,365,1579.780015
-195.9,369,1582.684551
-664.6,366,1585.37796
-5189.3,768,1604.049271
-5222.8,768,1624.685048
-5164.0,769,1643.598248
-196.1,363,1646.005058
-5235.8,777,1664.234513
-655.8,365,1667.984892
-5231.1,774,1686.378335
-195.4,363,1688.750434
-639.7,368,1692.732233
-659.9,369,1695.729781
-5181.1,768,1713.704328
-720.1,365,1717.40682
-5169.9,768,1736.276531
-675.7,370,1739.0563
