#{"t_start": 1778082035.19598, "env_id": "None"}
r,l,t
-12.86,367,6.697355
-14.06,367,13.069224
-16.54,367,18.654346
-15.24,367,24.649347
-13.26,367,30.867869
-12.26,367,35.645196
-10.96,367,40.158906
-11.16,367,46.553858
-17.94,367,52.31802
-16.04,367,57.805009
-16.04,367,63.736583
-21.46,768,98.430341
-9.76,367,104.160539
-17.66,768,140.820367
-12.54,367,147.503381
-8.56,367,155.017708
-16.86,768,197.811715
-9.66,367,204.498861
-9.16,367,210.856386
-11.76,768,261.446095
-14.06,768,303.917161
-5.56,367,311.469707
-5.96,367,317.795702
-5.96,367,323.648354
-10.84,367,329.11606
-9.44,367,335.000118
-12.16,768,380.619743
-5.06,768,424.770465
-7.56,768,463.963917
-3.66,367,470.568388
-5.66,768,498.621643
-7.84,367,504.191038
-7.96,768,535.061055
-4.16,768,573.527954
-5.24,367,579.448914
-1.76,367,585.714882
-5.54,367,591.491685
-4.56,768,624.769131
-3.84,367,630.645483
-2.16,768,661.320795
-5.24,367,666.534723
-0.06,768,703.332451
0.84,367,709.980161
-4.44,367,715.926917
-1.16,367,722.011327
0.34,768,754.920354
-0.66,768,786.790321
0.24,768,818.104811
1.54,367,826.732416
-2.74,367,832.495388
3.64,768,863.77169
3.44,768,900.151898
3.64,768,929.453002
3.04,768,958.718064
-1.74,367,963.187483
1.04,367,971.721236
-1.14,367,977.469285
-2.04,367,983.065346
2.34,367,990.399594
2.94,768,1029.518827
4.54,768,1071.008905
4.34,768,1112.687689
2.94,367,1120.981811
2.54,367,1131.817771
7.04,768,1174.126036
-0.84,367,1180.076368
7.54,768,1219.740825
6.14,768,1255.277623
2.74,367,1261.351168
8.14,768,1295.710089
9.24,768,1328.72089
3.14,367,1334.429895
8.44,768,1365.116777
0.36,367,1370.006742
2.94,367,1375.262704
8.14,768,1407.989009
-0.54,367,1413.59529
-0.54,367,1421.941884
3.94,367,1428.064035
4.04,367,1434.210793
3.64,367,1440.442762
8.94,768,1472.419006
8.94,768,1508.432563
3.64,367,1514.966132
8.24,768,1557.224887
8.94,768,1589.574887
0.96,367,1594.153062
9.34,768,1629.851737
9.74,768,1673.037086
1.16,367,1679.359758
9.14,768,1710.883463
0.96,367,1715.367439
4.74,367,1725.187831
1.16,367,1730.664427
10.34,768,1768.476219
9.84,768,1806.340599
0.76,367,1811.089748
11.64,768,1844.861881
9.44,768,1879.187417
4.84,367,1888.1878
11.14,768,1920.363336
1.16,367,1925.806648
1.16,367,1931.583114
1.16,367,1937.27012
10.84,768,1968.089903
