#{"t_start": 1776516302.9040709, "env_id": "None"}
r,l,t
-5161.7,773,26574.146396
-598.1,367,26577.803558
-174.6,367,26581.795865
-170.7,367,26585.194567
-5086.3,769,26607.376355
-168.5,367,26611.447745
-174.2,367,26615.525743
-578.9,367,26619.497274
-171.6,367,26624.938898
-175.8,367,26628.114517
-5159.3,768,26647.283598
-5035.3,768,26665.386241
-5023.3,770,26686.478729
-589.7,367,26689.156958
-586.0,368,26693.276169
-5132.1,769,26714.700161
-173.9,370,26718.462564
-5114.6,773,26737.710378
-5053.8,773,26758.980678
-580.4,367,26764.24881
-583.9,367,26768.299371
-5147.3,768,26789.411273
-602.5,367,26793.381279
-584.0,367,26798.816654
-168.9,367,26801.402317
-168.4,367,26804.983302
-5137.4,772,26823.486143
-171.0,367,26826.11149
-172.6,367,26831.802361
-166.4,367,26834.57816
-573.9,367,26838.177639
-5098.0,772,26858.32934
-168.6,367,26862.264889
-170.9,367,26866.116256
-171.1,367,26868.822157
-583.9,368,26871.954254
-5125.6,768,26892.395257
-170.3,367,26897.721541
-5111.1,769,26916.92466
-5123.7,773,26935.995116
-175.6,368,26941.378304
-174.3,367,26945.086596
-170.5,367,26948.705441
-5073.2,769,26967.902943
-5165.3,772,26989.482347
-177.0,367,26993.370856
-177.5,367,26997.27467
-589.4,367,27000.580813
-584.7,370,27004.70598
-5109.4,768,27025.381984
-5128.4,772,27045.61332
-171.2,367,27049.399836
-173.6,367,27054.982355
-5073.2,768,27073.860517
-5100.9,768,27093.036675
-5109.3,768,27114.353216
-5114.0,768,27134.411253
-590.1,367,27137.334043
-5110.3,769,27157.955703
-576.1,367,27161.93832
-586.3,367,27164.935151
-163.7,367,27168.648136
-5125.4,768,27188.778436
-5131.3,773,27208.44725
-171.5,367,27212.019069
-573.8,367,27216.184787
-169.3,367,27218.799718
-5111.3,773,27240.609683
-172.8,367,27244.255158
-172.4,367,27246.873587
-165.6,368,27249.28712
-5148.5,768,27270.295891
-168.3,367,27274.162187
-171.0,367,27277.302721
-173.9,367,27281.177557
-5120.4,769,27301.638243
-175.2,367,27304.272282
-5021.6,769,27323.875958
-5168.9,773,27346.270633
-166.4,371,27349.561083
-171.6,367,27352.928882
-167.4,367,27355.255371
-590.4,367,27358.131989
-5111.9,769,27380.279871
-587.9,367,27384.475381
-170.7,367,27388.226376
-588.5,367,27392.170487
-171.2,367,27394.577308
-170.1,367,27398.680693
-5081.5,768,27419.066706
-165.6,367,27422.435433
-571.7,367,27426.078755
-577.0,367,27429.047331
-5091.4,768,27449.909527
-167.9,367,27453.00721
-166.6,367,27456.848116
-161.3,367,27460.59684
-5094.1,772,27481.513943
-573.0,367,27484.970037
-572.5,367,27487.54453
-583.5,367,27490.202986
-166.3,367,27493.8548
-162.7,367,27498.729809
-5099.7,769,27518.780342
-576.0,367,27522.696562
-163.4,367,27525.995713
-5153.7,768,27545.300517
-5153.9,768,27565.146045
-584.6,367,27568.288849
-578.5,367,27571.013797
-5103.6,768,27591.276952
-588.3,367,27595.377384
-573.9,367,27599.545842
-588.0,367,27603.470386
